incident_id,timestamp,service,region,severity,metric_type,metric_value,description,action_taken,resolution_time_minutes
I00106,05-01-2026 09:00,Payment,North,Medium,ErrorRate,268.78,Auto generated incident log,Scaled up instances,59
I00107,05-01-2026 10:00,Billing,South,Low,ErrorRate,42.75,Auto generated incident log,Increased cache,108
I00108,05-01-2026 11:00,Auth,South,Medium,ErrorRate,450.99,Auto generated incident log,Rolled back deployment,69
I00109,05-01-2026 12:00,Billing,West,Medium,Latency,226,Auto generated incident log,Rolled back deployment,93
I00110,05-01-2026 13:00,Auth,North,Low,ErrorRate,449.91,Auto generated incident log,Scaled up instances,91
I00111,05-01-2026 14:00,Payment,East,High,CPU,146.81,Auto generated incident log,Optimized queries,78
I00112,05-01-2026 15:00,Orders,West,Low,Throughput,183.65,Auto generated incident log,Rolled back deployment,22
I00113,05-01-2026 16:00,Search,South,Low,CPU,252.12,Auto generated incident log,Restarted service,78
I00114,05-01-2026 17:00,Auth,West,High,CPU,9.42,Auto generated incident log,Optimized queries,89
I00115,05-01-2026 18:00,Orders,North,Medium,Throughput,44.41,Auto generated incident log,Scaled up instances,21
I00116,05-01-2026 19:00,Billing,East,High,Memory,989.75,Auto generated incident log,Scaled up instances,104
I00117,05-01-2026 20:00,Billing,East,Medium,ErrorRate,19.3,Auto generated incident log,Increased cache,76
I00118,05-01-2026 21:00,Orders,East,Critical,CPU,758.94,Auto generated incident log,Increased cache,51
I00119,05-01-2026 22:00,Orders,North,High,Memory,714.22,Auto generated incident log,Optimized queries,34
I00120,05-01-2026 23:00,Payment,East,Low,CPU,406.68,Auto generated incident log,Increased cache,53
I00121,06-01-2026 00:00,Auth,South,Medium,CPU,182.77,Auto generated incident log,Increased cache,105
I00122,06-01-2026 01:00,Orders,East,High,Throughput,356.97,Auto generated incident log,Scaled up instances,58
I00123,06-01-2026 02:00,Orders,West,Low,Memory,174.44,Auto generated incident log,Scaled up instances,96
I00124,06-01-2026 03:00,Payment,South,High,CPU,610.68,Auto generated incident log,Increased cache,31
I00125,06-01-2026 04:00,Auth,East,Medium,Latency,53.43,Auto generated incident log,Scaled up instances,9
I00126,06-01-2026 05:00,Orders,East,Low,Throughput,448.72,Auto generated incident log,Scaled up instances,84
I00127,06-01-2026 06:00,Billing,East,Low,Latency,732.98,Auto generated incident log,Increased cache,47
I00128,06-01-2026 07:00,Payment,East,Low,Memory,254.32,Auto generated incident log,Scaled up instances,17
I00129,06-01-2026 08:00,Auth,East,Medium,Memory,166.72,Auto generated incident log,Scaled up instances,26
I00130,06-01-2026 09:00,Orders,South,Critical,Memory,256.34,Auto generated incident log,Increased cache,6
I00131,06-01-2026 10:00,Auth,North,High,ErrorRate,784.34,Auto generated incident log,Optimized queries,118
I00132,06-01-2026 11:00,Billing,East,Low,Throughput,85.81,Auto generated incident log,Restarted service,30
I00133,06-01-2026 12:00,Orders,North,Medium,Latency,537.57,Auto generated incident log,Restarted service,10
I00134,06-01-2026 13:00,Payment,East,Low,CPU,126.56,Auto generated incident log,Increased cache,86
I00135,06-01-2026 14:00,Payment,North,Low,ErrorRate,580.87,Auto generated incident log,Optimized queries,113
I00136,06-01-2026 15:00,Auth,East,Low,Memory,835.4,Auto generated incident log,Optimized queries,39
I00137,06-01-2026 16:00,Payment,North,Medium,Memory,910.17,Auto generated incident log,Restarted service,34
I00138,06-01-2026 17:00,Auth,East,Medium,CPU,523.27,Auto generated incident log,Rolled back deployment,78
I00139,06-01-2026 18:00,Search,East,Low,Latency,315.13,Auto generated incident log,Increased cache,30
I00140,06-01-2026 19:00,Auth,North,Low,CPU,646.31,Auto generated incident log,Scaled up instances,18
I00141,06-01-2026 20:00,Auth,South,Low,Memory,889.11,Auto generated incident log,Rolled back deployment,23
I00142,06-01-2026 21:00,Billing,West,Low,Latency,392.19,Auto generated incident log,Optimized queries,56
I00143,06-01-2026 22:00,Billing,North,Low,Throughput,568.18,Auto generated incident log,Restarted service,49
I00144,06-01-2026 23:00,Search,North,High,ErrorRate,6.59,Auto generated incident log,Restarted service,100
I00145,07-01-2026 00:00,Payment,East,Low,Throughput,793.81,Auto generated incident log,Rolled back deployment,92
I00146,07-01-2026 01:00,Search,North,Low,Memory,520.8,Auto generated incident log,Restarted service,31
I00147,07-01-2026 02:00,Payment,North,Low,ErrorRate,531.19,Auto generated incident log,Increased cache,90
I00148,07-01-2026 03:00,Search,South,Medium,ErrorRate,335.61,Auto generated incident log,Rolled back deployment,56
I00149,07-01-2026 04:00,Auth,West,Low,CPU,768.58,Auto generated incident log,Rolled back deployment,17
I00150,07-01-2026 05:00,Orders,South,Low,Throughput,975.05,Auto generated incident log,Restarted service,61
I00151,07-01-2026 06:00,Billing,East,High,Latency,711.28,Auto generated incident log,Increased cache,91
I00152,07-01-2026 07:00,Payment,West,Medium,ErrorRate,796.29,Auto generated incident log,Restarted service,28
I00153,07-01-2026 08:00,Payment,South,Low,Latency,112.8,Auto generated incident log,Optimized queries,53
I00154,07-01-2026 09:00,Search,West,Low,Throughput,830.95,Auto generated incident log,Scaled up instances,68
I00155,07-01-2026 10:00,Auth,North,Low,ErrorRate,12.22,Auto generated incident log,Restarted service,77
I00156,07-01-2026 11:00,Auth,North,Low,Throughput,297.96,Auto generated incident log,Optimized queries,52
I00157,07-01-2026 12:00,Payment,South,High,ErrorRate,772.79,Auto generated incident log,Restarted service,25
I00158,07-01-2026 13:00,Payment,South,Low,Memory,388.82,Auto generated incident log,Optimized queries,31
I00159,07-01-2026 14:00,Billing,South,Medium,CPU,658.5,Auto generated incident log,Optimized queries,45
I00160,07-01-2026 15:00,Orders,West,Medium,Throughput,985.59,Auto generated incident log,Scaled up instances,76
I00161,07-01-2026 16:00,Search,South,Low,Memory,10.88,Auto generated incident log,Scaled up instances,62
I00162,07-01-2026 17:00,Billing,East,High,ErrorRate,523.94,Auto generated incident log,Rolled back deployment,44
I00163,07-01-2026 18:00,Orders,South,Low,Throughput,888.97,Auto generated incident log,Optimized queries,98
I00164,07-01-2026 19:00,Payment,South,Medium,Throughput,309.46,Auto generated incident log,Optimized queries,22
I00165,07-01-2026 20:00,Search,South,Medium,Throughput,647.04,Auto generated incident log,Restarted service,70
I00166,07-01-2026 21:00,Search,South,Low,CPU,568.96,Auto generated incident log,Optimized queries,20
I00167,07-01-2026 22:00,Auth,East,High,Throughput,723.49,Auto generated incident log,Scaled up instances,77
I00168,07-01-2026 23:00,Orders,South,Critical,Latency,908.05,Auto generated incident log,Increased cache,117
I00169,08-01-2026 00:00,Billing,South,Low,Throughput,882.06,Auto generated incident log,Restarted service,98
I00170,08-01-2026 01:00,Search,West,Low,Latency,930.9,Auto generated incident log,Rolled back deployment,68
I00171,08-01-2026 02:00,Payment,North,Medium,ErrorRate,803.61,Auto generated incident log,Scaled up instances,78
I00172,08-01-2026 03:00,Payment,East,High,Latency,530.65,Auto generated incident log,Scaled up instances,7
I00173,08-01-2026 04:00,Billing,West,Medium,ErrorRate,533.9,Auto generated incident log,Increased cache,113
I00174,08-01-2026 05:00,Orders,South,Low,Latency,383.42,Auto generated incident log,Optimized queries,106
I00175,08-01-2026 06:00,Billing,East,Low,CPU,238.97,Auto generated incident log,Rolled back deployment,41
I00176,08-01-2026 07:00,Orders,South,Medium,Throughput,678.03,Auto generated incident log,Restarted service,114
I00177,08-01-2026 08:00,Payment,West,Medium,CPU,367.63,Auto generated incident log,Rolled back deployment,96
I00178,08-01-2026 09:00,Search,East,Medium,Throughput,556.88,Auto generated incident log,Optimized queries,110
I00179,08-01-2026 10:00,Payment,North,Low,Latency,604.44,Auto generated incident log,Optimized queries,9
I00180,08-01-2026 11:00,Payment,East,Medium,CPU,434.17,Auto generated incident log,Optimized queries,98
I00181,08-01-2026 12:00,Billing,East,Medium,ErrorRate,523.67,Auto generated incident log,Scaled up instances,119
I00182,08-01-2026 13:00,Orders,South,High,ErrorRate,382.09,Auto generated incident log,Scaled up instances,91
I00183,08-01-2026 14:00,Auth,East,Low,Latency,852.72,Auto generated incident log,Restarted service,29
I00184,08-01-2026 15:00,Payment,West,High,Memory,895.39,Auto generated incident log,Restarted service,67
I00185,08-01-2026 16:00,Billing,East,Low,Throughput,554.44,Auto generated incident log,Increased cache,109
I00186,08-01-2026 17:00,Search,East,High,Latency,907.07,Auto generated incident log,Optimized queries,44
I00187,08-01-2026 18:00,Payment,West,Low,ErrorRate,63.19,Auto generated incident log,Restarted service,77
I00188,08-01-2026 19:00,Auth,North,High,Latency,95.35,Auto generated incident log,Rolled back deployment,46
I00189,08-01-2026 20:00,Orders,East,High,ErrorRate,552.18,Auto generated incident log,Increased cache,17
I00190,08-01-2026 21:00,Billing,West,Medium,Throughput,985.54,Auto generated incident log,Scaled up instances,91
I00191,08-01-2026 22:00,Billing,West,Critical,ErrorRate,878.77,Auto generated incident log,Rolled back deployment,72
I00192,08-01-2026 23:00,Search,West,Low,CPU,618.91,Auto generated incident log,Optimized queries,19
I00193,09-01-2026 00:00,Search,North,Low,CPU,435.82,Auto generated incident log,Scaled up instances,99
I00194,09-01-2026 01:00,Search,South,Low,Throughput,492.18,Auto generated incident log,Scaled up instances,67
I00195,09-01-2026 02:00,Search,East,High,Latency,403.22,Auto generated incident log,Increased cache,24
I00196,09-01-2026 03:00,Orders,North,High,CPU,876.47,Auto generated incident log,Rolled back deployment,94
I00197,09-01-2026 04:00,Search,North,High,Latency,725.67,Auto generated incident log,Restarted service,50
I00198,09-01-2026 05:00,Search,East,Low,Throughput,38.22,Auto generated incident log,Optimized queries,53
I00199,09-01-2026 06:00,Billing,North,Low,ErrorRate,915.83,Auto generated incident log,Scaled up instances,86
I00200,09-01-2026 07:00,Search,South,Critical,Throughput,213.19,Auto generated incident log,Restarted service,94
I00201,09-01-2026 08:00,Orders,West,Medium,Latency,225.15,Auto generated incident log,Restarted service,89
I00202,09-01-2026 09:00,Billing,West,High,CPU,732.11,Auto generated incident log,Restarted service,28
I00203,09-01-2026 10:00,Billing,West,Medium,Latency,831.84,Auto generated incident log,Scaled up instances,112
I00204,09-01-2026 11:00,Payment,South,Low,Memory,217.56,Auto generated incident log,Rolled back deployment,65
I00205,09-01-2026 12:00,Search,North,High,Memory,868.08,Auto generated incident log,Increased cache,119
I00206,09-01-2026 13:00,Search,South,Critical,Memory,70.71,Auto generated incident log,Optimized queries,106
I00207,09-01-2026 14:00,Payment,East,Critical,CPU,468.81,Auto generated incident log,Scaled up instances,22
I00208,09-01-2026 15:00,Search,North,Low,Memory,380.9,Auto generated incident log,Increased cache,15
I00209,09-01-2026 16:00,Auth,East,Critical,Memory,406.24,Auto generated incident log,Restarted service,46
I00210,09-01-2026 17:00,Payment,South,Low,Latency,652.58,Auto generated incident log,Scaled up instances,47
I00211,09-01-2026 18:00,Orders,North,Critical,Latency,949.04,Auto generated incident log,Scaled up instances,62
I00212,09-01-2026 19:00,Orders,North,Low,Latency,581.7,Auto generated incident log,Optimized queries,55
I00213,09-01-2026 20:00,Orders,North,Medium,Memory,240.63,Auto generated incident log,Restarted service,35
I00214,09-01-2026 21:00,Payment,South,High,Latency,524.45,Auto generated incident log,Increased cache,71
I00215,09-01-2026 22:00,Orders,North,High,ErrorRate,612.28,Auto generated incident log,Scaled up instances,6
I00216,09-01-2026 23:00,Auth,East,High,Memory,360.54,Auto generated incident log,Rolled back deployment,97
I00217,10-01-2026 00:00,Billing,North,Low,CPU,340.9,Auto generated incident log,Rolled back deployment,104
I00218,10-01-2026 01:00,Payment,West,Medium,CPU,991.3,Auto generated incident log,Restarted service,107
I00219,10-01-2026 02:00,Billing,East,Medium,ErrorRate,326.38,Auto generated incident log,Optimized queries,34
I00220,10-01-2026 03:00,Billing,North,Low,ErrorRate,728.58,Auto generated incident log,Scaled up instances,40
I00221,10-01-2026 04:00,Auth,South,Medium,CPU,925.45,Auto generated incident log,Optimized queries,13
I00222,10-01-2026 05:00,Search,East,Medium,Memory,555.16,Auto generated incident log,Restarted service,58
I00223,10-01-2026 06:00,Auth,West,High,Throughput,661.2,Auto generated incident log,Rolled back deployment,23
I00224,10-01-2026 07:00,Billing,West,High,CPU,963.24,Auto generated incident log,Restarted service,35
I00225,10-01-2026 08:00,Auth,East,Medium,Latency,50.75,Auto generated incident log,Increased cache,70
I00226,10-01-2026 09:00,Orders,West,Low,ErrorRate,924.4,Auto generated incident log,Restarted service,23
I00227,10-01-2026 10:00,Auth,West,Low,Latency,769.95,Auto generated incident log,Increased cache,107
I00228,10-01-2026 11:00,Payment,East,High,ErrorRate,680.59,Auto generated incident log,Restarted service,69
I00229,10-01-2026 12:00,Payment,South,High,Latency,18.04,Auto generated incident log,Rolled back deployment,15
I00230,10-01-2026 13:00,Orders,East,Low,ErrorRate,325.1,Auto generated incident log,Increased cache,41
I00231,10-01-2026 14:00,Billing,East,Low,CPU,592.01,Auto generated incident log,Increased cache,54
I00232,10-01-2026 15:00,Auth,South,Low,ErrorRate,602.56,Auto generated incident log,Increased cache,49
I00233,10-01-2026 16:00,Payment,East,High,Memory,682.06,Auto generated incident log,Restarted service,29
I00234,10-01-2026 17:00,Payment,West,Critical,Latency,914.21,Auto generated incident log,Scaled up instances,80
I00235,10-01-2026 18:00,Search,West,High,CPU,178.41,Auto generated incident log,Scaled up instances,62
I00236,10-01-2026 19:00,Auth,West,High,Latency,132.57,Auto generated incident log,Increased cache,61
I00237,10-01-2026 20:00,Payment,South,Low,Throughput,659.51,Auto generated incident log,Increased cache,31
I00238,10-01-2026 21:00,Billing,East,High,Memory,633.48,Auto generated incident log,Increased cache,96
I00239,10-01-2026 22:00,Search,South,Medium,Memory,154.47,Auto generated incident log,Scaled up instances,49
I00240,10-01-2026 23:00,Orders,North,Low,Throughput,539.83,Auto generated incident log,Rolled back deployment,111
I00241,11-01-2026 00:00,Search,East,Medium,Memory,512.49,Auto generated incident log,Increased cache,12
I00242,11-01-2026 01:00,Billing,North,Critical,CPU,778.82,Auto generated incident log,Scaled up instances,61
I00243,11-01-2026 02:00,Billing,South,Low,Latency,512.29,Auto generated incident log,Restarted service,63
I00244,11-01-2026 03:00,Search,East,Low,Latency,682.3,Auto generated incident log,Restarted service,9
I00245,11-01-2026 04:00,Payment,East,Low,Throughput,879.98,Auto generated incident log,Optimized queries,58
I00246,11-01-2026 05:00,Payment,South,Medium,Throughput,580.31,Auto generated incident log,Increased cache,16
I00247,11-01-2026 06:00,Payment,East,Low,CPU,510.64,Auto generated incident log,Increased cache,82
I00248,11-01-2026 07:00,Billing,South,Low,Throughput,333.78,Auto generated incident log,Scaled up instances,89
I00249,11-01-2026 08:00,Auth,North,Medium,Memory,672.39,Auto generated incident log,Increased cache,39
I00250,11-01-2026 09:00,Billing,South,High,Latency,237.52,Auto generated incident log,Increased cache,94
I00251,11-01-2026 10:00,Auth,East,Medium,CPU,338.42,Auto generated incident log,Increased cache,33
I00252,11-01-2026 11:00,Orders,North,Low,CPU,334.15,Auto generated incident log,Increased cache,105
I00253,11-01-2026 12:00,Orders,East,Low,Throughput,948.8,Auto generated incident log,Rolled back deployment,21
I00254,11-01-2026 13:00,Billing,North,Medium,CPU,752.95,Auto generated incident log,Rolled back deployment,67
I00255,11-01-2026 14:00,Search,East,Low,Memory,356,Auto generated incident log,Optimized queries,32
I00256,11-01-2026 15:00,Billing,North,High,CPU,738.8,Auto generated incident log,Restarted service,105
I00257,11-01-2026 16:00,Billing,West,Low,Memory,630,Auto generated incident log,Restarted service,36
I00258,11-01-2026 17:00,Payment,North,Medium,Throughput,139.11,Auto generated incident log,Optimized queries,27
I00259,11-01-2026 18:00,Search,West,Medium,ErrorRate,616.7,Auto generated incident log,Rolled back deployment,39
I00260,11-01-2026 19:00,Orders,West,Critical,Memory,789.72,Auto generated incident log,Increased cache,44
I00261,11-01-2026 20:00,Billing,East,Low,Throughput,933.49,Auto generated incident log,Optimized queries,20
I00262,11-01-2026 21:00,Search,North,Critical,ErrorRate,38.34,Auto generated incident log,Optimized queries,47
I00263,11-01-2026 22:00,Billing,East,Low,Latency,766.22,Auto generated incident log,Scaled up instances,79
I00264,11-01-2026 23:00,Orders,West,Low,Memory,189.24,Auto generated incident log,Optimized queries,54
I00265,12-01-2026 00:00,Search,South,Medium,ErrorRate,579.25,Auto generated incident log,Scaled up instances,29
I00266,12-01-2026 01:00,Payment,North,High,ErrorRate,601.75,Auto generated incident log,Rolled back deployment,14
I00267,12-01-2026 02:00,Orders,East,Low,Memory,76.55,Auto generated incident log,Restarted service,35
I00268,12-01-2026 03:00,Auth,North,Low,Latency,748.59,Auto generated incident log,Scaled up instances,63
I00269,12-01-2026 04:00,Search,South,Medium,Throughput,462.72,Auto generated incident log,Optimized queries,8
I00270,12-01-2026 05:00,Orders,North,Medium,Latency,974.72,Auto generated incident log,Restarted service,35
I00271,12-01-2026 06:00,Payment,South,Medium,CPU,791.62,Auto generated incident log,Scaled up instances,101
I00272,12-01-2026 07:00,Auth,South,High,CPU,115.1,Auto generated incident log,Rolled back deployment,10
I00273,12-01-2026 08:00,Billing,East,Low,Memory,214.89,Auto generated incident log,Scaled up instances,56
